jornada,fecha,resultado_oficial,nuestra_quiniela,aciertos,fallos_claros,fallos_sorpresa,lectura
1,Semana 33 - 2025,2112X2111X21XX | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
2,Semana 34 - 2025,XX21X121222X22 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
3,Semana 35 - 2025,X121X211XX1122 | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
4,Semana 36 - 2025,1XX1XX2X12X121 | P15 0M,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
5,Semana 37 - 2025,1X1122X1121122 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
6,Semana 38 - 2025,222X112111X112 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
7,Semana 38 - 2025,21112XX111X112 | P15 20,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
8,Semana 39 - 2025,XX22X2X1XX2121 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
9,Semana 39 - 2025,X1121111X221X2 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
10,Semana 40 - 2025,2111111X1X1X21 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
11,Semana 40 - 2025,21111122X21211 | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
12,Semana 41 - 2025,X11XX121112112 | P15 20,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
13,Semana 42 - 2025,X1X1221XX1X1X2 | P15 M0,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
14,Semana 42 - 2025,21X1XX2221221X | P15 00,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
15,Semana 43 - 2025,112211221121X1 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
16,Semana 43 - 2025,X122X212X2111X | P15 21,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
17,Semana 44 - 2025,1112111X21XX12 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
18,Semana 45 - 2025,12XX211X22X121 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
19,Semana 45 - 2025,11121X12XX1X1X | P15 00,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
20,Semana 46 - 2025,2211X112122112 | P15 0M,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
21,Semana 47 - 2025,X1X111X1XX1X1X | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
22,Semana 47 - 2025,2121XX2X2X1121 | P15 21,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
23,Semana 48 - 2025,21121X12221111 | P15 21,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
24,Semana 48 - 2025,X121222X12X121 | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
25,Semana 49 - 2025,12121122222222 | P15 M1,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
26,Semana 49 - 2025,1121X121222X2X | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
27,Semana 50 - 2025,1121222XX1X122 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
28,Semana 50 - 2025,1112111212X22X | P15 00,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
29,Semana 51 - 2025,XX1211X111XX11 | P15 M0,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
30,Semana 51 - 2025,XX1122111X1XX1 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
31,Semana 52 - 2025,XX21211XX11121 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
32,Semana 1 - 2026,1X2221X21X122X | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
33,Semana 2 - 2026,211X2XX11X12XX | P15 21,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
34,Semana 3 - 2026,211122X121211X | P15 01,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
35,Semana 3 - 2026,11X211111122X1 | P15 21,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
36,Semana 4 - 2026,22111XX2122111 | P15 M1,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
37,Semana 4 - 2026,211211122X1X21 | P15 1,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
38,Semana 5 - 2026,22211211X22X2X | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
39,Semana 5 - 2026,1XX211X1211111 | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
42,Semana 7 - 2026,X121X212XXX11X | P15 M0,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
44,Semana 8 - 2026,XX1121111XX111 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
45,Semana 9 - 2026,X122X122222X21 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
47,Semana 11 - 2026,21XX11X21212X1 | P15 M0,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
49,Semana 12 - 2026,12211111211111 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
50,Semana 12 - 2026,12112121122111 | P15 M2,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
51,Semana 13 - 2026,112XXX12111XX1 | P15 M1,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
52,Semana 14 - 2026,X11XXX1121XX2X | P15 11,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
53,Semana 14 - 2026,11X121X122X111 | P15 12,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
54,Semana 15 - 2026,221X21X1111222 | P15 02,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
55,Semana 15 - 2026,XX111X12211XX1 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
56,Semana 16 - 2026,22X2211X111X21 | P15 MM,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
57,Semana 16 - 2026,X1211111XX2121 | P15 22,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
58,Semana 17 - 2026,111XX111212X2X | P15 2M,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
59,Semana 17 - 2026,X1211X2111221X | P15 00,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
60,Semana 18 - 2026,12221212X22121 | P15 10,No jugada por nosotros,Pendiente,Pendiente,Pendiente,Cargada automáticamente desde QuinielaFutbol
61,10/05/2026,Pendiente,1X2 X 1 1X2 1X 1 X 1X2 2 X2 1 X 2 1,Pendiente,Pendiente,Pendiente,Se actualizará al terminar la jornada
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
2026-05-11,61,0,Fase_Cierre_2526
